Angle,IntersectionArea_Pixels²
3.37,889.4408663064736
3.38,887.9274113114345
3.39,886.415188376785
3.4,884.9048999244756
3.41,883.3983097166252
3.42,881.8955682283089
3.43,880.3966449534219
3.44,878.9015739881922
3.45,877.4104631071824
3.46,875.9232978790619
3.47,874.4400207866564
3.48,872.9607471863618
3.49,871.4856404692363
3.5,870.0146984653211
3.51,868.5479175916212
3.52,867.0852745867594
3.53,865.6266472726463
3.54,864.171692474565
3.55,862.7203873180305
3.56,861.2727371633134
3.57,859.8289296756119
3.58,858.3890417265977
3.59,856.9530702924211
3.6,855.5209767328154
3.61,854.092421363481
3.62,852.6672990835567
3.63,851.2456012108198
3.64,849.8273376121095
3.65,848.4125470310987
3.66,847.00142846855
3.67,845.5940174686989
3.68,844.1901456583373
3.69,842.7895618127
3.7,841.392260776171
3.71,839.9982398370248
3.72,838.6074837245047
3.73,837.2199779004945
3.74,835.8357680666456
3.75,834.4550545620241
3.76,833.0776166497617
3.77,831.7033172112663
3.78,830.3321535700586
3.79,828.9641230442251
3.8,827.5992229464259
3.81,826.2374505838661
3.82,824.8788023178921
3.83,823.5233091423813
3.84,822.1709036653467
3.85,820.821490771468
3.86,819.4750759396051
3.87,818.1316683717099
3.88,816.7912654935872
3.89,815.4538646241926
3.9,814.1194630768316
3.91,812.7880560313869
3.92,811.4595019971665
3.93,810.1338442186858
3.94,808.811076366865
3.95,807.4911899244261
3.96,806.1741822201734
3.97,804.8600510128515
3.98,803.5488059300719
3.99,802.240294134439
4.0,800.9342739686986
4.01,799.6306089674194
4.02,798.3294711794927
4.03,797.0308671307877
4.04,795.7347946073198
4.05,794.441240884783
4.06,793.1501936614196
4.07,791.8616506867263
4.08,790.5755882218627
4.09,789.2917828826402
4.1,788.0102838085595
4.11,786.7312523616886
4.12,785.4546884971704
4.13,784.1805899573058
4.14,782.9089544777963
4.15,781.63977978783
4.16,780.3730593858621
4.17,779.1086844915059
4.18,777.8464608373317
4.19,776.5865102170261
4.2,775.3289590392868
4.21,774.0738050324064
4.22,772.821055692832
4.23,771.5707165689066
4.24,770.3227853349616
4.25,769.0772583196994
4.26,767.8339700304479
4.27,766.5928081758383
4.28,765.3539213407937
4.29,764.1173937137735
4.3,762.8832229304134
4.31,761.651406619571
4.32,760.4219424032945
4.33,759.1948278968059
4.34,757.9700540789019
4.35,756.7474403371828
4.36,755.5269354377285
4.37,754.3087298691374
4.38,753.0928764665929
4.39,751.8793639726154
4.4,750.6681772333661
4.41,749.4593136971805
4.42,748.2527709063316
4.43,747.0485238390469
4.44,745.8463761445863
4.45,744.6463309623581
4.46,743.4485874420398
4.47,742.2531775196856
4.48,741.0601011672463
4.49,739.869355880504
4.5,738.6809333369941
4.51,737.4948147155329
4.52,736.3109685530569
4.53,735.1292009143652
4.54,733.9495959588459
4.55,732.7723054618638
4.56,731.5973273380855
4.57,730.4246590063748
4.58,729.2542986094203
4.59,728.0862570433551
4.6,726.9205367658955
4.61,725.7571000258883
4.62,724.5957577780085
4.63,723.4366819560041
4.64,722.2799271830452
4.65,721.1254907870275
4.66,719.9733700886136
4.67,718.8235624012589
4.68,717.6760650311493
4.69,716.5308752772341
4.7,715.3879661060168
4.71,714.247286380409
4.72,713.1089582221451
4.73,711.9729689229981
4.74,710.8393157027114
4.75,709.70799577373
4.76,708.5790063411433
4.77,707.4523446026424
4.78,706.3280077485551
4.79,705.2060254644565
4.8,704.086473846995
4.81,702.9694772262573
4.82,701.8550412530077
4.83,700.7431602661973
4.84,699.63383348053
4.85,698.5270576417969
4.86,697.4228294886127
4.87,696.3211615875936
4.88,695.2222624913716
4.89,694.1260209014613
4.9,693.0323861289703
4.91,691.9413545782695
4.92,690.8529000318646
4.93,689.7670049783637
4.94,688.6836822748796
4.95,687.6029450298819
4.96,686.5250166362691
4.97,685.4499837607394
4.98,684.3776576330712
4.99,683.3079866051698
5.0,682.2409672446394
5.01,681.1765758051919
5.02,680.1147837642915
5.03,679.0556029029273
5.04,677.9992896427981
5.05,676.9459538328853
5.06,675.8955771207025
5.07,674.8479656566755
5.08,673.8030732799009
5.09,672.7608914276861
5.1,671.7213744049627
5.11,670.684577661327
5.12,669.6507917312018
5.13,668.6200464027622
5.14,667.5923378621571
5.15,666.5676420312842
5.16,665.5457790244228
5.17,664.5267015178365
5.18,663.5103550551751
5.19,662.4969925052474
5.2,661.486776886575
5.21,660.4797042134925
5.22,659.4757704926229
5.23,658.4749717229199
5.24,657.4772705698318
5.25,656.4826187237994
5.26,655.4912161285343
5.27,654.5033369081384
5.28,653.5189792499089
5.29,652.5381392127734
5.3,651.5608289279253
5.31,650.5872242116574
5.32,649.6175198822838
5.33,648.6518196590627
5.34,647.6903072668989
5.35,646.7329882640236
5.36,645.7798588263855
5.37,644.8309151231886
5.38,643.8861533169328
5.39,642.9457079757549
5.4,642.0101226233892
5.41,641.0794937191367
5.42,640.15351040175
5.43,639.2321057047025
5.44,638.3152759542251
5.45,637.4030174700672
5.46,636.4956400810756
5.47,635.5934981955728
5.48,634.6967048465065
5.49,633.8052552250567
5.5,632.918803151483
5.51,632.0371915416403
5.52,631.1606762558629
5.53,630.2895631458384
5.54,629.4238490953
5.55,628.5635303914677
5.56,627.7086033155487
5.57,626.8591229579334
5.58,626.0152084880247
5.59,625.176566592207
5.6,624.3431819605848
5.61,623.51505112542
5.62,622.6921706130585
5.63,621.8746535062609
5.64,621.062635622585
5.65,620.2561136791168
5.66,619.4550072352198
5.67,618.6591499257936
5.68,617.8685785410953
5.69,617.0834350347028
5.7,616.3037348372925
5.71,615.5294746173103
5.72,614.7606510373141
5.73,613.9972898378579
5.74,613.2395295292542
5.75,612.4871753259569
5.76,611.7402241987029
5.77,610.9987995446055
5.78,610.2629174844315
5.79,609.5327277180086
5.8,608.8083284751931
5.81,608.0897151053539
5.82,607.3766543782654
5.83,606.6689776983321
5.84,605.9669105789109
5.85,605.2706232103181
5.86,604.5802086685563
5.87,603.8957753002171
5.88,603.2173202278974
5.89,602.5448570291907
5.9,601.8782491479313
5.91,601.2174662456216
5.92,600.5625054209571
5.93,599.9133637670816
5.94,599.2701474764167
5.95,598.6331662199303
5.96,598.0023920142677
5.97,597.3774668620706
5.98,596.7583105824588
5.99,596.1449469949786
6.0,595.5375973826086
6.01,594.9363090268006
6.02,594.3410790240612
6.03,593.7518385948957
6.04,593.1681898729402
6.05,592.5903226178787
6.06,592.0184238053329
6.07,591.4524287807703
6.08,590.8922307351158
6.09,590.3378156055192
6.1,589.7889151336141
